,playerid,Name,Position(s),Team,Salary,dollar_value,Surplus,Values,Adjusted,Overall_Value,R,HR,RBI,SB,ex_AVE,K,W,SV,ex_WHIP,ex_ERA,Group,Tier,Stuff+,brl_percent,brl_percentile,whiff_percent
2986,sa3019723,None,Not Available,FA,0.0,0.0,0.0,-1.6423886550470577,0.0,0.0,0.0623,0.0071,0.061900000000000004,0.0089,-0.10108200000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2987,sa3008785,None,Not Available,FA,0.0,0.0,0.0,-1.6378938102400462,0.0,0.0,0.0737,0.0122,0.0709,0.009600000000000001,-0.09006820000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2988,sa3018971,None,Not Available,FA,0.0,0.0,0.0,-1.6424047619161135,0.0,0.0,0.0708,0.016800000000000002,0.0695,0.0094,-0.114207,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2989,sa3009763,None,Not Available,FA,0.0,0.0,0.0,-1.6371217380288277,0.0,0.0,0.076,0.013800000000000002,0.0724,0.010100000000000001,-0.08933170000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2990,sa3015139,None,Not Available,FA,0.0,0.0,0.0,-1.6369384463943077,0.0,0.0,0.0781,0.0201,0.0799,0.01,-0.09622839999999999,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2991,sa3016548,None,Not Available,FA,0.0,0.0,0.0,-1.6369553184417849,0.0,0.0,0.0687,0.0049,0.0641,0.012700000000000001,-0.0799984,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2992,sa3003210,None,Not Available,FA,0.0,0.0,0.0,-1.6369604540079905,0.0,0.0,0.0745,0.016900000000000002,0.07690000000000001,0.0105,-0.09249940000000004,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2993,sa3008941,None,Not Available,FA,0.0,0.0,0.0,-1.636974925871023,0.0,0.0,0.0703,0.0076,0.0604,0.0258,-0.09749720000000003,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2994,sa3019214,None,Not Available,FA,0.0,0.0,0.0,-1.6369806418379578,0.0,0.0,0.081,0.0183,0.08070000000000001,0.0071,-0.0923274,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
2995,sa3018445,None,Not Available,FA,0.0,0.0,0.0,-1.6369820785615485,0.0,0.0,0.07490000000000001,0.0177,0.0782,0.0103,-0.09348580000000001,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0
